From	To	Species	Gene Name
Q82Z99	1202009	Enterococcus faecalis V583	HD/KH domain-containing protein(EF3170)
Q9Y366	51098	Homo sapiens	intraflagellar transport 52(IFT52)
Q82Z98	1202011	Enterococcus faecalis V583	competence damage-inducible protein A(cinA)
Q9Y2U5	10746	Homo sapiens	mitogen-activated protein kinase kinase kinase 2(MAP3K2)
Q3UCV8	432940	Mus musculus	OTU deubiquitinase with linear linkage specificity(Otulin)
O14002	2542041	Schizosaccharomyces pombe 972h-	histidine kinase Mak2(mak2)
Q8VIH1	18291	Mus musculus	NOBOX oogenesis homeobox(Nobox)
Q9UBQ7	9380	Homo sapiens	glyoxylate and hydroxypyruvate reductase(GRHPR)
Q9BW19	3833	Homo sapiens	kinesin family member C1(KIFC1)
O14003	2541493	Schizosaccharomyces pombe 972h-	DNA replication factor C complex subunit Rfc3(rfc3)
Q6UWP2	79154	Homo sapiens	dehydrogenase/reductase 11(DHRS11)
P35800	174106	Caenorhabditis elegans	Cuticle collagen dpy-10(dpy-10)
P97302	12013	Mus musculus	BTB and CNC homology 1, basic leucine zipper transcription factor 1(Bach1)
O43805	8636	Homo sapiens	SS nuclear autoantigen 1(SSNA1)
D2K6F1	5715942	Chlamydomonas reinhardtii	sodium/sulfate co-transporter(SLT2)
Q9Y2Y4	27033	Homo sapiens	zinc finger and BTB domain containing 32(ZBTB32)
Q46CS0	3627395	Methanosarcina barkeri str. Fusaro	alanyl-tRNA synthetase(alaS)
O57579	395667	Gallus gallus	alanyl (membrane) aminopeptidase(ANPEP)
Q5SSW2	103554	Mus musculus	proteasome (prosome, macropain) activator subunit 4(Psme4)
O14045	2541572	Schizosaccharomyces pombe 972h-	tRNA 2'-phosphotransferase Tpt1 (predicted)(SPAC2C4.12c)
O14040	2542643	Schizosaccharomyces pombe 972h-	ribonuclease II (RNB) family (predicted)(SPAC2C4.07c)
P97305	18021	Mus musculus	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3(Nfatc3)
P97303	12014	Mus musculus	BTB and CNC homology, basic leucine zipper transcription factor 2(Bach2)
Q9LET7	824836	Arabidopsis thaliana	Cam interacting protein 111(CIP111)
Q74LG3	2741925	Lactobacillus johnsonii NCC 533	DNA-directed RNA polymerase subunit delta(LJ_RS01145)
P35832	43469	Drosophila melanogaster	Protein tyrosine phosphatase 99A(Ptp99A)
Q8VII6	85254	Rattus norvegicus	solute carrier family 44 member 1(Slc44a1)
Q7VPN9	24944625	Haemophilus ducreyi 35000HP	ATP synthase epsilon chain(HD_RS00055)
Q2V3V1	3768820	Arabidopsis thaliana	Cysteine-rich protein(AT3G17155)
Q6UX01	55716	Homo sapiens	limb development membrane protein 1 like(LMBR1L)
Q97II1	1117843	Clostridium acetobutylicum ATCC 824	butyrate kinase(CA_C1660)
Q9UBT6	51426	Homo sapiens	DNA polymerase kappa(POLK)
Q9Y2X9	23528	Homo sapiens	zinc finger protein 281(ZNF281)
Q7VPN0	24945124	Haemophilus ducreyi 35000HP	diaminopimelate epimerase(dapF)
Q80WY3	332397	Mus musculus	nanos homolog 1 (Drosophila)(Nanos1)
O43808	10478	Homo sapiens	solute carrier family 25 member 17(SLC25A17)
Q8ZNY9	1253372	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	serine/threonine-protein phosphatase 1(pphA)
A0JM13	780184	Xenopus tropicalis	C2 calcium-dependent domain containing 3(c2cd3)
Q9Y2X0	10025	Homo sapiens	mediator complex subunit 16(MED16)
P97313	19090	Mus musculus	protein kinase, DNA activated, catalytic polypeptide(Prkdc)
A2AJN7	269356	Mus musculus	solute carrier family 4, sodium bicarbonate transporter-like, member 11(Slc4a11)
A0JM12	780183	Xenopus tropicalis	multiple EGF-like-domains 10(megf10)
Q9Y394	51635	Homo sapiens	dehydrogenase/reductase 7(DHRS7)
Q9Y2X3	51602	Homo sapiens	NOP58 ribonucleoprotein(NOP58)
Q9W1C5	37840	Drosophila melanogaster	Integrator 1(IntS1)
Q9NL29	181641	Caenorhabditis elegans	Abnormal pharyngeal pumping eat-20(eat-20)
Q03400	810500	Plasmodium falciparum 3D7	S-antigen(PF10_0343)
Q2V459	3768529	Arabidopsis thaliana	Defensin-like (DEFL) family protein(AT2G25185)
Q03404	21785	Mus musculus	trefoil factor 2 (spasmolytic protein 1)(Tff2)
Q9LF46	831604	Arabidopsis thaliana	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein(AT5G17380)
Q03407	852101	Saccharomyces cerevisiae S288c	serine/threonine protein kinase PKH1(PKH1)
Q6UWN8	404203	Homo sapiens	serine peptidase inhibitor, Kazal type 6(SPINK6)
Q9BVS5	55006	Homo sapiens	tRNA methyltransferase 61B(TRMT61B)
Q03406	852100	Saccharomyces cerevisiae S288c	DNA replication protein SLD5(SLD5)
O57592	101064977	Takifugu rubripes	ribosomal protein L7a(rpl7a)
P35822	19272	Mus musculus	protein tyrosine phosphatase, receptor type, K(Ptprk)
Q8VIJ6	71514	Mus musculus	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)(Sfpq)
Q9C7R6	839808	Arabidopsis thaliana	plant U-box 17(PUB17)
Q8VIJ5	154968	Rattus norvegicus	meningioma expressed antigen 5 (hyaluronidase)(Mgea5)
Q99LB6	108645	Mus musculus	methionine adenosyltransferase II, beta(Mat2b)
O57593	101074563	Takifugu rubripes	surfeit 1(surf1)
Q2V462	3768450	Arabidopsis thaliana	Defensin-like (DEFL) family protein(AT2G24615)
Q9UBS9	51430	Homo sapiens	SUN domain containing ossification factor(SUCO)
A4IFM3	538876	Bos taurus	short chain dehydrogenase/reductase family 9C, member 7(SDR9C7)
Q9UBS8	9604	Homo sapiens	ring finger protein 14(RNF14)
O57590	101075587	Takifugu rubripes	surfeit 4(surf4)
Q818X0	1206462	Bacillus cereus ATCC 14579	8-amino-7-oxononanoate synthase(BC4117)
Q2V465	816828	Arabidopsis thaliana	serine carboxypeptidase-like 11(SCPL11)
Q9LET1	824843	Arabidopsis thaliana	Protein kinase superfamily protein(AT3G56760)
Q74LF7	2743518	Lactobacillus johnsonii NCC 533	GMP synthetase(LJ_RS01175)
Q9UBS5	2550	Homo sapiens	gamma-aminobutyric acid type B receptor subunit 1(GABBR1)
P45377	14187	Mus musculus	aldo-keto reductase family 1, member B8(Akr1b8)
Q9UBS4	51726	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B11(DNAJB11)
Q9UBS3	4189	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B9(DNAJB9)
Q9Y2W6	11022	Homo sapiens	tudor and KH domain containing(TDRKH)
Q80X95	68441	Mus musculus	Ras-related GTP binding A(Rraga)
Q8VIJ8	17168	Mus musculus	nitrogen permease regulator-like 3(Nprl3)
Q58HI1	733329	Xenopus laevis	proline, glutamate and leucine rich protein 1 L homeolog(pelp1.L)
A0JM20	780188	Xenopus tropicalis	TYRO3 protein tyrosine kinase(tyro3)
Q4P9K4	23563733	Ustilago maydis 521	putative COPII coated vesicle component(UMAG_03209)
A0JM23	780190	Xenopus tropicalis	nephronophthisis 3 (adolescent)(nphp3)
A5DBF4	5128813	Meyerozyma guilliermondii ATCC 6260	hypothetical protein(PGUG_00609)
A0JM24	780191	Xenopus tropicalis	NADP-dependent oxidoreductase domain containing 1(noxred1)
P90971	173441	Caenorhabditis elegans	T-box protein 12(mab-9)
Q03419	852102	Saccharomyces cerevisiae S288c	PAQR-type receptor(IZH1)
Q818W9	1206463	Bacillus cereus ATCC 14579	dithiobiotin synthetase(bioD)
Q6UWM7	197021	Homo sapiens	lactase like(LCTL)
O14063	2539426	Schizosaccharomyces pombe 972h-	karyopherin Cut15(cut15)
Q6UWM9	79799	Homo sapiens	UDP glucuronosyltransferase family 2 member A3(UGT2A3)
Q9BVV6	9786	Homo sapiens	KIAA0586(KIAA0586)
Q9W1F4	37810	Drosophila melanogaster	CG2980 gene product from transcript CG2980-RA(thoc5)
Q99LC9	224824	Mus musculus	peroxisomal biogenesis factor 6(Pex6)
Q9LF79	835815	Arabidopsis thaliana	autoinhibited Ca2+ -ATPase(ACA8)
Q4P9K9	23563730	Ustilago maydis 521	Chitin synthase 8(UMAG_03204)
Q9C7V5	842737	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G64310)
Q03412	181608	Caenorhabditis elegans	Innexin(unc-7)
P23708	18044	Mus musculus	nuclear transcription factor-Y alpha(Nfya)
O14065	2539288	Schizosaccharomyces pombe 972h-	C2 domain protein(SPCC962.01)
Q8VIK1	78372	Mus musculus	small nuclear ribonucleoprotein 25 (U11/U12)(Snrnp25)
Q03421	950448	Haemophilus influenzae Rd KW20	3-phosphoshikimate 1-carboxyvinyltransferase(aroA)
Q9LEW3	830943	Arabidopsis thaliana	Eukaryotic aspartyl protease family protein(AT5G10760)
A4IFJ1	617660	Bos taurus	synapse differentiation inducing 1 like(SYNDIG1L)
Q9LF80	830665	Arabidopsis thaliana	Galactosyl transferase GMA12/MNN10 family protein(XXT3)
Q8VIK5	73182	Mus musculus	platelet endothelial aggregation receptor 1(Pear1)
Q9VPF0	40266	Drosophila melanogaster	artichoke(atk)
Q6UWM5	256710	Homo sapiens	GLI pathogenesis related 1 like 1(GLIPR1L1)
Q9UBV2	6400	Homo sapiens	SEL1L ERAD E3 ligase adaptor subunit(SEL1L)
P35858	3483	Homo sapiens	insulin like growth factor binding protein acid labile subunit(IGFALS)
Q9UBV4	51384	Homo sapiens	Wnt family member 16(WNT16)
Q80X85	50529	Mus musculus	mitchondrial ribosomal protein S7(Mrps7)
P35859	79438	Rattus norvegicus	insulin-like growth factor binding protein, acid labile subunit(Igfals)
Q80X86	67645	Mus musculus	armadillo repeat containing 12(Armc12)
P45345	950545	Haemophilus influenzae Rd KW20	penicillin-binding protein 1B(ponB)
Q9UBV8	553115	Homo sapiens	penta-EF-hand domain containing 1(PEF1)
P90980	181166	Caenorhabditis elegans	Protein kinase C(pkc-2)
Q8TH84	1476532	Methanosarcina acetivorans C2A	RNA 2'-phosphotransferase(MA_RS24200)
A7SMW7	5506318	Nematostella vectensis	hypothetical protein(NEMVEDRAFT_v1g172254)
Q9Y2Z2	25821	Homo sapiens	mitochondrial tRNA translation optimization 1(MTO1)
Q9C7U5	842942	Arabidopsis thaliana	O-Glycosyl hydrolases family 17 protein(AT1G66250)
Q03426	4598	Homo sapiens	mevalonate kinase(MVK)
Q6UWL6	84063	Homo sapiens	kin of IRRE like 2 (Drosophila)(KIRREL2)
Q9LEU4	830963	Arabidopsis thaliana	Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT5G10960)
Q9LEU7	830960	Arabidopsis thaliana	CBL-interacting protein kinase 5(CIPK5)
O14055	2539269	Schizosaccharomyces pombe 972h-	cytoplasmic tyrosine-tRNA ligase Yrs1 (predicted)(yrs1)
Q8VIM0	171285	Mus musculus	hepatitis A virus cellular receptor 2(Havcr2)
Q7VPK9	24945092	Haemophilus ducreyi 35000HP	pantothenate kinase(HD_RS00265)
P0CP96	3257892	Cryptococcus neoformans var. neoformans JEC21	FK506 binding protein 2(CNE02370)
P35841	2793832	Desulfovibrio vulgaris str. Hildenborough	methyl-accepting chemotaxis protein DcrA(dcrA)
Q9UBU9	10482	Homo sapiens	nuclear RNA export factor 1(NXF1)
Q8CPY8	1057773	Staphylococcus epidermidis ATCC 12228	thioredoxine reductase(SE0547)
Q8VIL2	66568	Mus musculus	RWD domain containing 3(Rwdd3)
Q64SY7	3083667	Bacteroides fragilis YCH46	diaminopimelate epimerase(BF2642)
Q03432	950306	Haemophilus influenzae Rd KW20	formyltetrahydrofolate deformylase(purU)
Q8CPY9	1055991	Staphylococcus epidermidis ATCC 12228	excinuclease ABC subunit A(uvrA)
B4JWL5	6569154	Drosophila grimshawi	GH23070 gene product from transcript GH23070-RA(Dgri\GH23070)
Q6UWL2	64420	Homo sapiens	sushi domain containing 1(SUSD1)
P45359	1119056	Clostridium acetobutylicum ATCC 824	acetyl-CoA acetyltransferase(CA_C2873)
C5B706	7960249	Edwardsiella ictaluri 93-146	glycerol-3-phosphate acyltransferase(NT01EI_RS00995)
P0CP93	4938456	Cryptococcus neoformans var. neoformans B-3501A	hypothetical protein(CNBJ1160)
Q1PEY8	817541	Arabidopsis thaliana	F-box/RNI-like superfamily protein(AT2G29910)
Q9UBU6	51439	Homo sapiens	family with sequence similarity 8 member A1(FAM8A1)
Q80X71	71900	Mus musculus	transmembrane protein 106B(Tmem106b)
Q80X72	74488	Mus musculus	leucine rich repeat containing 15(Lrrc15)
Q9Y2Y9	51621	Homo sapiens	Kruppel like factor 13(KLF13)
Q80WV3	54371	Mus musculus	carbohydrate sulfotransferase 2(Chst2)
Q9Y6I4	9960	Homo sapiens	ubiquitin specific peptidase 3(USP3)
Q9Y6I7	26118	Homo sapiens	WD repeat and SOCS box containing 1(WSB1)
Q8TJU1	1475579	Methanosarcina acetivorans C2A	glycerol-1-phosphate dehydrogenase(egsA)
F6S9E6	100493459	Xenopus tropicalis	dynein, axonemal, assembly factor 3(dnaaf3)
A4IH61	100124800	Xenopus tropicalis	nicotinamide nucleotide adenylyltransferase 2(nmnat2)
Q9Y6I9	51368	Homo sapiens	testis expressed 264(TEX264)
A4IGU3	100038275	Xenopus tropicalis	methyltransferase like 21A(mettl21a)
A7MBJ4	512072	Bos taurus	protein tyrosine phosphatase, receptor type F(PTPRF)
Q4P6L3	23564493	Ustilago maydis 521	hypothetical protein(UMAG_04250)
Q20318	177666	Caenorhabditis elegans	Protein lin-49(lin-49)
A7MBJ2	507820	Bos taurus	SUMO1/sentrin specific peptidase 7(SENP7)
Q12096	854498	Saccharomyces cerevisiae S288c	glucose N-acetyltransferase(GNT1)
Q5L3V0	3185933	Geobacillus kaustophilus HTA426	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase(GK_RS00505)
Q3IMY8	3703137	Natronomonas pharaonis DSM 2160	50S ribosomal protein L3(NP_RS11965)
Q9BYB0	85358	Homo sapiens	SH3 and multiple ankyrin repeat domains 3(SHANK3)
Q9ESV0	27225	Mus musculus	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24(Ddx24)
Q9NHE5	49968	Drosophila melanogaster	Calcium-dependent secretion activator(Cadps)
P0CS71	4936425	Cryptococcus neoformans var. neoformans B-3501A	hypothetical protein(CNBE4140)
Q9Y6J8	51657	Homo sapiens	serine/threonine/tyrosine interacting like 1(STYXL1)
Q9XUJ7	173234	Caenorhabditis elegans	Serine/threonine-protein kinase dkf-1(dkf-1)
P0CS68	3256042	Cryptococcus neoformans var. neoformans JEC21	hypothetical protein(CNB04690)
Q95JT3	102136332	Macaca fascicularis	leucine rich repeat containing 43(LRRC43)
Q751E7	4622719	Eremothecium gossypii ATCC 10895	AGL241Wp(AGOS_AGL241W)
P0CS66	3253361	Cryptococcus neoformans var. neoformans JEC21	palmitoyltransferase(CNA04190)
Q8EXQ7	1153710	Leptospira interrogans serovar Lai str. 56601	adenosylcobalamin biosynthesis bifunctional protein CobDQ(cbiP)
Q5SUD9	241950	Mus musculus	Bardet-Biedl syndrome 12 (human)(Bbs12)
Q6CC99	2909147	Yarrowia lipolytica CLIB122	YALI0C11231p(YALI0C11231g)
Q07617	6674	Homo sapiens	sperm associated antigen 1(SPAG1)
Q68EH8	445492	Danio rerio	flavin adenine dinucleotide synthetase 1(flad1)
F4I837	842133	Arabidopsis thaliana	Mannose-binding lectin superfamily protein(AT1G57570)
Q9PJL1	1246185	Chlamydia muridarum str. Nigg	acyl-ACP-UDP-N-acetylglucosamine O-acyltransferase(TC_RS04155)
O76463	176628	Caenorhabditis elegans	Nitrilase homolog(nft-1)
F4HVS0	843816	Arabidopsis thaliana	zinc ion binding protein(AT1G74770)
Q68EI3	445479	Danio rerio	ATP/GTP binding protein-like 5(agbl5)
Q46G00	3626299	Methanosarcina barkeri str. Fusaro	hypothetical protein(MBAR_RS01195)
P67678	2665532	Bordetella pertussis Tohama I	ribosome biogenesis GTPase(BP2689)
Q9ESW4	69923	Mus musculus	acylglycerol kinase(Agk)
Q9Y6J0	23523	Homo sapiens	calcineurin binding protein 1(CABIN1)
Q9ESW8	66522	Mus musculus	pyroglutamyl-peptidase I(Pgpep1)
Q87RH3	1188320	Vibrio parahaemolyticus RIMD 2210633	ferrochelatase(hemH)
O62763	493674	Felis catus	acetylcholinesterase (Cartwright blood group)(ACHE)
Q95K40	102119509	Macaca fascicularis	coiled-coil domain containing 83(CCDC83)
Q6P1C1	75678	Mus musculus	inositol 1,3,4,5,6-pentakisphosphate 2-kinase(Ippk)
A6UWX3	5326505	Methanococcus aeolicus Nankai-3	8-amino-7-oxononanoate synthase(MAEO_RS07280)
Q5SUC9	52892	Mus musculus	SCO1 cytochrome c oxidase assembly protein(Sco1)
Q9Y6G5	51397	Homo sapiens	COMM domain containing 10(COMMD10)
P0DMB0	101324813	Tursiops truncatus	apolipoprotein A1(APOA1)
Q6P1C6	320398	Mus musculus	leucine-rich repeats and immunoglobulin-like domains 3(Lrig3)
Q9VSA4	38865	Drosophila melanogaster	CG7457 gene product from transcript CG7457-RB(CG7457)
F4HW04	837346	Arabidopsis thaliana	DNA polymerase epsilon catalytic subunit(TIL1)
A7MBL8	567134	Danio rerio	zgc:153916(zgc:153916)
P37333	4010709	Paraburkholderia xenovorans LB400	biphenyl dioxygenase subunit alpha(BXE_RS42315)
P0CS92	14218018	Schizosaccharomyces pombe 972h-	conserved fungal protein(SPAC959.06c)
Q5L3T3	3183848	Geobacillus kaustophilus HTA426	tRNA(Ile)-lysidine synthase(GK_RS00600)
Q95JR7	102143954	Macaca fascicularis	glycerophosphodiester phosphodiesterase domain containing 4(GDPD4)
Q95JR6	101925807	Macaca fascicularis	cyclic nucleotide binding domain containing 2(CNBD2)
Q9EST1	57911	Mus musculus	gasdermin A(Gsdma)
Q9PJJ7	1246200	Chlamydia muridarum str. Nigg	DNA polymerase III subunit alpha(TC_RS04230)
P0CS88	2868648	Aspergillus nidulans FGSC A4	hypothetical protein(AN8450.2)
O53379	888028	Mycobacterium tuberculosis H37Rv	aminotransferase(Rv3329)
Q6P1B1	170750	Mus musculus	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble(Xpnpep1)
Q95JR0	102115503	Macaca fascicularis	cancer antigen 1(CAGE1)
A7MBM2	85455	Homo sapiens	dispatched RND transporter family member 2(DISP2)
O62771	554229	Monodelphis domestica	sperm autoantigenic protein 17(SPA17)
Q68EF4	268934	Mus musculus	glutamate receptor, metabotropic 4(Grm4)
Q12089	856102	Saccharomyces cerevisiae S288c	Aep3p(AEP3)
Q12083	855939	Saccharomyces cerevisiae S288c	mismatch repair protein MLH3(MLH3)
Q3UG20	69188	Mus musculus	lysine (K)-specific methyltransferase 2E(Kmt2e)
Q9Y6H1	51142	Homo sapiens	coiled-coil-helix-coiled-coil-helix domain containing 2(CHCHD2)
Q9ET66	74116	Mus musculus	peptidase inhibitor 16(Pi16)
Q9NHD5	44724	Drosophila melanogaster	separation anxiety(san)
Q12080	855957	Saccharomyces cerevisiae S288c	Nop53p(NOP53)
P0CS87	2541416	Schizosaccharomyces pombe 972h-	hypothetical protein(SPBCPT2R1.01c)
Q9ET61	84398	Rattus norvegicus	CD93 molecule(Cd93)
Q3UFQ8	268747	Mus musculus	capping protein regulator and myosin 1 linker 3(Carmil3)
A4IH75	549574	Xenopus tropicalis	autophagy related 101(atg101)
Q00802	693044	Bombyx mori	low molecular lipoprotein 30K pBmHPC-19(Lp-c19)
Q78S06	66460	Mus musculus	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)(Sys1)
P37304	851838	Saccharomyces cerevisiae S288c	Pam1p(PAM1)
Q6P1E7	408022	Mus musculus	primase and polymerase (DNA-directed)(Primpol)
Q6P1E8	77627	Mus musculus	EF-hand calcium binding domain 6(Efcab6)
O18696	173200	Caenorhabditis elegans	Phosphodiesterase(pde-1)
A6UWV1	5327233	Methanococcus aeolicus Nankai-3	50S ribosomal protein L5(MAEO_RS07170)
A3CPS7	4807798	Streptococcus sanguinis SK36	UDP-N-acetylmuramate--L-alanine ligase(murC)
B7GJH1	7037525	Anoxybacillus flavithermus WK1	gamma-glutamyl phosphate reductase(proA)
Q6R3K9	832509	Arabidopsis thaliana	YELLOW STRIPE like 2(YSL2)
Q6P1E1	328365	Mus musculus	zinc finger, MIZ-type containing 1(Zmiz1)
A7MBF6	614845	Bos taurus	chromosome 3 open reading frame, human C1orf228(C3H1orf228)
Q14191	7486	Homo sapiens	Werner syndrome RecQ like helicase(WRN)
Q9ET30	107358	Mus musculus	transmembrane 9 superfamily member 3(Tm9sf3)
A4IH24	100124787	Xenopus tropicalis	TPX2, microtubule-associated(tpx2)
Q3UFT3	381126	Mus musculus	GRB2 associated regulator of MAPK1 subtype 1(Garem1)
A4IGQ8	100037892	Xenopus tropicalis	THAP domain containing 11(thap11)
Q5L3Z5	3183800	Geobacillus kaustophilus HTA426	50S ribosomal protein L23(GK_RS00895)
Q9ET37	64452	Mus musculus	solute carrier family 5, member 4a(Slc5a4a)
Q9ESR9	79248	Rattus norvegicus	ATP binding cassette subfamily A member 2(Abca2)
Q14195	1809	Homo sapiens	dihydropyrimidinase like 3(DPYSL3)
Q14197	3396	Homo sapiens	mitochondrial ribosomal protein L58(MRPL58)
Q12057	854271	Saccharomyces cerevisiae S288c	Pin2p(PIN2)
Q99MZ7	111175	Mus musculus	peroxisomal trans-2-enoyl-CoA reductase(Pecr)
Q99MZ6	17922	Mus musculus	myosin VIIB(Myo7b)
Q2GZU7	4392137	Chaetomium globosum CBS 148.51	hypothetical protein(CHGG_04949)
D0NK82	9474588	Phytophthora infestans T30-4	hypothetical protein(PITG_13069)
Q6P1D7	52864	Mus musculus	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)(Slx4)
Q0VAA2	145497	Homo sapiens	leucine rich repeat containing 74A(LRRC74A)
Q6P1D5	56747	Mus musculus	seizure related 6 homolog like(Sez6l)
Q9Y6F1	10039	Homo sapiens	poly(ADP-ribose) polymerase family member 3(PARP3)
Q99MZ4	156275	Rattus norvegicus	gamma-glutamyltransferase 7(Ggt7)
Q0VAA5	257068	Homo sapiens	phosphatidylinositol specific phospholipase C X domain containing 2(PLCXD2)
Q95JP0	102142004	Macaca fascicularis	WD repeat domain 63(WDR63)
Q9Y6F8	253175	Homo sapiens	chromodomain Y-linked 1B(CDY1B)
Q9ESS0	63953	Mus musculus	dual specificity phosphatase 10(Dusp10)
Q751I2	4622684	Eremothecium gossypii ATCC 10895	AGL276Wp(AGOS_AGL276W)
A4IGP0	100037885	Xenopus tropicalis	chromosome 11 open reading frame 73(c11orf73)
Q9ET43	64945	Mus musculus	claudin 12(Cldn12)
Q12060	855821	Saccharomyces cerevisiae S288c	Hfi1p(HFI1)
F4HVW5	839232	Arabidopsis thaliana	GRAM domain family protein(VAD1)
Q3UFS0	414872	Mus musculus	zyg-ll family member B, cell cycle regulator(Zyg11b)
Q9ET47	56226	Mus musculus	espin(Espn)
A4IH17	100038304	Xenopus tropicalis	BCL2 associated athanogene 6(bag6)
Q68EM7	55114	Homo sapiens	Rho GTPase activating protein 17(ARHGAP17)
Q99MY8	192195	Mus musculus	ash1 (absent, small, or homeotic)-like (Drosophila)(Ash1l)
O76411	179054	Caenorhabditis elegans	ALK tyrosine kinase receptor homolog scd-2(scd-2)
Q68EK9	445501	Danio rerio	cell division cycle 26 homolog(cdc26)
Q9Y6C2	11117	Homo sapiens	elastin microfibril interfacer 1(EMILIN1)
Q9XUC2	189055	Caenorhabditis elegans	Intraflagellar transport associated protein 2(ifta-2)
Q6P1G2	30841	Mus musculus	lysine (K)-specific demethylase 2B(Kdm2b)
Q711G3	298917	Rattus norvegicus	isoamyl acetate-hydrolyzing esterase 1 homolog(Iah1)
Q6P1G6	219148	Mus musculus	family with sequence similarity 167, member A(Fam167a)
P70700	20017	Mus musculus	polymerase (RNA) I polypeptide B(Polr1b)
Q6R3M4	26447	Mus musculus	polymerase (DNA directed), iota(Poli)
Q8F9Q1	1149483	Leptospira interrogans serovar Lai str. 56601	methyltransferase(LA_0140)
P70705	24941	Rattus norvegicus	ATPase copper transporting alpha(Atp7a)
Q9ESP1	64136	Mus musculus	stromal cell-derived factor 2-like 1(Sdf2l1)
P70704	11980	Mus musculus	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1(Atp8a1)
Q6P1G0	217026	Mus musculus	HEAT repeat containing 6(Heatr6)
Q4P6N0	23566448	Ustilago maydis 521	putative ATP-dependent RNA helicase HAS1(UMAG_10410)
Q68EL3	103908618	Danio rerio	BET1-like protein(LOC103908618)
P90727	8584875	Caenorhabditis briggsae	C. briggsae CBR-UAF-1 protein(Cbr-uaf-1)
O51272	1195094	Borrelia burgdorferi B31	DNA translocase FtsK(BB_0257)
Q12039	854058	Saccharomyces cerevisiae S288c	ATP-dependent 3'-5' DNA helicase(HMI1)
Q99MX7	94047	Mus musculus	cat eye syndrome chromosome region, candidate 6(Cecr6)
Q5T6F2	55833	Homo sapiens	ubiquitin associated protein 2(UBAP2)
Q99N96	94061	Mus musculus	mitochondrial ribosomal protein L1(Mrpl1)
A6UWU8	5327584	Methanococcus aeolicus Nankai-3	50S ribosomal protein L14(MAEO_RS07155)
Q12038	856144	Saccharomyces cerevisiae S288c	Rab GTPase-binding protein SRO7(SRO7)
Q9Y6D5	10564	Homo sapiens	ADP ribosylation factor guanine nucleotide exchange factor 2(ARFGEF2)
Q9Y6D6	10565	Homo sapiens	ADP ribosylation factor guanine nucleotide exchange factor 1(ARFGEF1)
Q99MX1	83563	Mus musculus	ubiquitin specific peptidase 26(Usp26)
Q49BZ4	532865	Bos taurus	C-type lectin domain family 7 member A(CLEC7A)
Q883F5	1184060	[Pseudomonas syringae] pv. tomato str. DC3000	urease accessory protein UreD(ureD-1)
Q883F3	1184063	[Pseudomonas syringae] pv. tomato str. DC3000	urease, beta/gamma subunit(PSPTO_2411)
Q9ET22	83768	Mus musculus	dipeptidylpeptidase 7(Dpp7)
D3ZFB6	361651	Rattus norvegicus	proline-rich transmembrane protein 2(Prrt2)
A4IH36	549119	Xenopus tropicalis	family with sequence similarity 132 member A(fam132a)
Q9PJF9	1246238	Chlamydia muridarum str. Nigg	threonine--tRNA ligase(TC_RS04415)
Q751K7	4622654	Eremothecium gossypii ATCC 10895	AGL306Cp(AGOS_AGL306C)
Q14181	23649	Homo sapiens	DNA polymerase alpha 2, accessory subunit(POLA2)
Q14185	1793	Homo sapiens	dedicator of cytokinesis 1(DOCK1)
Q14186	7027	Homo sapiens	transcription factor Dp-1(TFDP1)
Q9ESQ9	60570	Rattus norvegicus	neuropeptide VF precursor(Npvf)
Q12045	855822	Saccharomyces cerevisiae S288c	Vik1p(VIK1)
Q68EK7	445498	Danio rerio	RAB4B, member RAS oncogene family(rab4b)
Q68EK2	445508	Danio rerio	calcitonin receptor-like a(calcrla)
Q9ESQ5	171143	Rattus norvegicus	transient receptor potential cation channel, subfamily M, member 4(Trpm4)
Q9ESQ4	64042	Rattus norvegicus	neuromedin U receptor 2(Nmur2)
Q68ER9	493254	Xenopus tropicalis	MYST/Esa1-associated factor 6(meaf6)
Q9ESN3	60455	Mus musculus	transmembrane protein 8 (five membrane-spanning domains)(Tmem8)
Q9ESN0	63912	Rattus norvegicus	family with sequence similarity 129, member A(Fam129a)
Q9ESN6	80890	Mus musculus	tripartite motif-containing 2(Trim2)
Q9Y6Q3	7539	Homo sapiens	ZFP37 zinc finger protein(ZFP37)
Q9ESN4	227580	Mus musculus	C1q-like 3(C1ql3)
Q9BYJ9	54915	Homo sapiens	YTH N6-methyladenosine RNA binding protein 1(YTHDF1)
Q9ESN5	60411	Mus musculus	centromere protein K(Cenpk)
