From	To	Species	Gene Name
Q8SRU7	859143	Encephalitozoon cuniculi GB-M1	26S PROTEASOME ALPHA-TYPE SUBUNIT C9(ECU05_1340)
O14924	6002	Homo sapiens	regulator of G-protein signaling 12(RGS12)
P55281	117048	Rattus norvegicus	cadherin 17(Cdh17)
Q8C6L5	214763	Mus musculus	Mab-21 domain containing 1(Mb21d1)
Q8K2Y9	216527	Mus musculus	cerebral cavernous malformation 2(Ccm2)
Q28C33	734068	Xenopus tropicalis	TBC1 domain family member 30(tbc1d30)
P84039	316249	Rattus norvegicus	ectonucleotide pyrophosphatase/phosphodiesterase 5(Enpp5)
O17798	173051	Caenorhabditis elegans	Furin-like protease kpc-1(kpc-1)
Q8TD35	198437	Homo sapiens	LKAAEAR motif containing 1(LKAAEAR1)
A4FUY9	514758	Bos taurus	transmembrane protein 17(TMEM17)
Q8BVN0	108811	Mus musculus	coiled-coil domain containing 122(Ccdc122)
Q8S9L6	827893	Arabidopsis thaliana	cysteine-rich RLK (RECEPTOR-like protein kinase) 29(CRK29)
Q8TD30	84706	Homo sapiens	glutamic--pyruvic transaminase 2(GPT2)
O88513	57441	Mus musculus	geminin(Gmnn)
Q8NDA2	256158	Homo sapiens	hemicentin 2(HMCN2)
A8E627	100126655	Xenopus laevis	poly(U)-specific endoribonuclease-D S homeolog(LOC100497154.S)
Q7TM99	66859	Mus musculus	"solute carrier family 16 (monocarboxylic acid transporters), member 9(Slc16a9)"
D3YYI7	268291	Mus musculus	ring finger protein 217(Rnf217)
Q5RDQ2	100171889	Pongo abelii	membrane palmitoylated protein 5(MPP5)
O82345	819232	Arabidopsis thaliana	BCL-2-associated athanogene 6(BAG6)
Q05793	15530	Mus musculus	perlecan (heparan sulfate proteoglycan 2)(Hspg2)
O61491	36726	Drosophila melanogaster	Flotillin 1(Flo1)
Q80VI1	384309	Mus musculus	tripartite motif-containing 56(Trim56)
Q9JHA8	27762	Mus musculus	von Willebrand factor A domain containing 7(Vwa7)
Q9H479	64122	Homo sapiens	fructosamine 3 kinase(FN3K)
A0JM12	780183	Xenopus tropicalis	multiple EGF-like-domains 10(megf10)
Q9C983	843262	Arabidopsis thaliana	WRKY DNA-binding protein 57(WRKY57)
Q9UH92	6945	Homo sapiens	"MLX, MAX dimerization protein(MLX)"
Q5UR04	10021811	Acanthamoeba polyphaga mimivirus	putative ankyrin repeat protein(R911)
Q22169	180422	Caenorhabditis elegans	Translocon-associated protein subunit beta(trap-2)
Q9GZU5	60506	Homo sapiens	nyctalopin(NYX)
Q6AYX5	29479	Rattus norvegicus	outer dense fiber of sperm tails 2(Odf2)
Q9VEN1	42066	Drosophila melanogaster	cheerio(cher)
Q5ND28	380713	Mus musculus	"scavenger receptor class F, member 1(Scarf1)"
Q66I21	447801	Danio rerio	"aldehyde dehydrogenase 8 family, member A1(aldh8a1)"
Q3V1N1	52065	Mus musculus	malignant fibrous histiocytoma amplified sequence 1(Mfhas1)
A6H7G2	514706	Bos taurus	drebrin like(DBNL)
A4XQ60	5109038	Pseudomonas mendocina ymp	bifunctional purine biosynthesis protein PurH(purH)
Q6CME1	2894643	Kluyveromyces lactis NRRL Y-1140	hypothetical protein(KLLA0E20967g)
P24081	911977	Orgyia pseudotsugata multiple nucleopolyhedrovirus	alkaline exonuclease(OpmnVgp131)
Q8N987	64168	Homo sapiens	N-terminal EF-hand calcium binding protein 1(NECAB1)
O65639	829758	Arabidopsis thaliana	cold shock domain protein 1(CSDP1)
Q9JI19	58249	Mus musculus	fibroblast growth factor (acidic) intracellular binding protein(Fibp)
P55040	2669	Homo sapiens	GTP binding protein overexpressed in skeletal muscle(GEM)
O52332	1090100	Mycoplasma gallisepticum str. R(low)	50S ribosomal protein L3(MGA_RS00255)
P45443	3878786	Neurospora crassa OR74A	ropy-1(ro-1)
A3LN13	4836691	Scheffersomyces stipitis CBS 6054	YPL008W (CHL1)-like protein(CHL1)
Q8NB78	221656	Homo sapiens	lysine demethylase 1B(KDM1B)
Q8K0U4	73442	Mus musculus	heat shock protein 12A(Hspa12a)
Q38PU3	102137990	Macaca fascicularis	glutamate ionotropic receptor kainate type subunit 2(GRIK2)
Q7ZXE1	379893	Xenopus laevis	carnitine palmitoyltransferase 2 S homeolog(cpt2.S)
Q6ZV73	55785	Homo sapiens	"FYVE, RhoGEF and PH domain containing 6(FGD6)"
Q92546	9827	Homo sapiens	"RGP1 homolog, RAB6A GEF complex partner 1(RGP1)"
Q8JGT4	398393	Xenopus laevis	unc-5 netrin receptor B L homeolog(unc5b.L)
Q6SJ93	374393	Homo sapiens	family with sequence similarity 111 member B(FAM111B)
Q31125	14977	Mus musculus	"solute carrier family 39 (zinc transporter), member 7(Slc39a7)"
Q2PQH8	479931	Canis lupus familiaris	"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase(AGL)"
Q66K08	214425	Mus musculus	"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase(Cilp)"
P00639	282217	Bos taurus	deoxyribonuclease 1(DNASE1)
Q9U3P2	181561	Caenorhabditis elegans	Synaptogenesis protein syg-2(syg-2)
Q96C10	79132	Homo sapiens	DExH-box helicase 58(DHX58)
Q3B7D3	689779	Rattus norvegicus	tectonic family member 2(Tctn2)
E7F8F4	100332599	Danio rerio	activating signal cointegrator 1 complex subunit 3(ascc3)
O46382	281022	Bos taurus	ADP ribosylation factor guanine nucleotide exchange factor 1(ARFGEF1)
O44516	176882	Caenorhabditis elegans	Ephrin-4(efn-4)
Q8CDU4	320118	Mus musculus	F-box and leucine-rich repeat protein 13(Fbxl13)
Q7Z2Y8	387751	Homo sapiens	"GTPase, very large interferon inducible pseudogene 1(GVINP1)"
C0H3R9	8303029	Bacillus subtilis subsp. subtilis str. 168	hypothetical protein(yvzG)
Q14416	2912	Homo sapiens	glutamate metabotropic receptor 2(GRM2)
